lat,lon,tipo,nome
-15.7989957,-47.8867997,restaurant,ABL self service
-15.7990775,-47.8867031,fast_food,Benvinda Frutas
-15.7946129,-47.8846564,restaurant,Villa's
-15.7950054,-47.8847448,pharmacy,Farmacentro Manipulação
-15.7801792,-47.8762076,pharmacy,Nova América
-15.7801325,-47.8757912,pharmacy,Medicare
-15.7801260,-47.8757288,fast_food,Subway
-15.7797119,-47.8763264,restaurant,Restaurante Escondidinho
-15.8043941,-47.8858172,bar,Bar Responsa
-15.7936147,-47.8890659,fast_food,Páprica Burger
-15.7803423,-47.8759175,restaurant,Menu Restô
-15.7803331,-47.8758513,restaurant,Pizza Swap
-15.7803307,-47.8757382,restaurant,Nossa Cozinha
-15.8035367,-47.9016975,place_of_worship,Igreja Santa Edwiges
-15.7808206,-47.8900077,cafe,Sterna Café
-15.7833619,-47.8836298,restaurant,iviva bowls
-15.8096223,-47.9075320,language_school,Aliança Francesa
-15.7933591,-47.8825794,bus_station,Rodoviria do Plano Piloto
-15.7932743,-47.8826236,bus_station,Rodoviaria do Plano Piloto
-15.8001193,-47.9005250,arts_centre,Espaco Brasilia Eventos
-15.8021056,-47.8948279,marketplace,Leal
-15.8020658,-47.8947785,school,Laboro
-15.7729372,-47.8913571,school,Ashram casa Jasmin
-15.8083007,-47.8966619,ice_cream,Piu Bella
-15.7892428,-47.8881951,fast_food,Churrasquinho do Galego
-15.7907299,-47.8858233,restaurant,Cantina Mineira
-15.7935494,-47.8981275,fast_food,LaranjalBrasil
-15.7931048,-47.8971168,dojo,Roda de Capoeira
-15.7975328,-47.8875443,restaurant,Brasileirinho
-15.7972504,-47.8874511,bank,Banco do Brasil
-15.7740246,-47.8922914,place_of_worship,Casa Luz de Yorimá de Umbanda iniciática
-15.7905723,-47.8944451,fast_food,Acarajé Da Anna
-15.7905032,-47.8943813,fast_food,Acarajé da Rosa
-15.7868494,-47.8827919,hospital,Proceram Instituto de Odontologia
-15.7798113,-47.8755818,restaurant,Caminito Parrilla Asa Norte
-15.8091405,-47.9014530,restaurant,Alfredo's
-15.8091433,-47.9015729,bicycle_parking,Loca
-15.8091123,-47.9014763,arts_centre,Infinu
-15.7833170,-47.8836400,marketplace,Tsuru Oriental
-15.8015199,-47.8967860,cafe,Rafaela Brandão Doceria;Senhorita Brigadeiro
-15.7728741,-47.8760889,cafe,Maytrea Café do Cerrado
-15.8084858,-47.8858439,restaurant,Verona
-15.7730935,-47.8761738,cafe,The Coffee
-15.8106906,-47.8982309,language_school,Wise Up
-15.8066215,-47.8937631,restaurant,Toro
-15.8064470,-47.8936064,restaurant,The Plant
-15.8066808,-47.8933134,restaurant,The Healthy
-15.8066905,-47.8936810,cafe,DuckBill Cookies & Coffee
-15.8069382,-47.8933825,cafe,Café da Mata
-15.7950461,-47.8924062,cafe,Starbucks
-15.7909700,-47.8829693,cafe,Starbucks
-15.7861156,-47.9005876,bicycle_rental,Centro de Convenções - Estação 3
-15.7929801,-47.8830289,bicycle_rental,Rodoviária Superior - Estação 8
-15.7867135,-47.8888292,doctors,Derma Star
-15.7758809,-47.8876505,bar,Gato Preto
-15.7735609,-47.8769352,restaurant,Superquadra Bar
-15.7925882,-47.8841068,bicycle_rental,Rodoviária Oeste - Estação 6
